类型,爬取日期,排名,书名,评论数,推荐数,作者,出版时间,出版社,折扣价,原价
2022年,2024/4/1,20,面纱（毛姆于女性觉醒的经典作品，三次改编成电影。在欲望中流离,233473,100%,毛姆,2019/1/1,时代文艺出版社,￥12.20,￥27.00
2021年,2024/4/1,1,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知,1763157,100%,罗伯特·戴博德,2020/7/1,天津人民出版社,￥20.60,￥38.00
2021年,2024/4/1,2,少年读史记（套装全5册）,1376041,100%,张嘉骅,2015/9/1,青岛出版社,￥49.00,￥100.00
2021年,2024/4/1,3,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推,1671370,100%,塔拉,2019/11/1,南海出版公司,￥35.40,￥59.00
2021年,2024/4/1,4,医路向前巍子给中国人的救护指南,531154,100%,医路向前巍子,2020/12/1,北京联合出版有限公司,￥42.80,￥68.00
2021年,2024/4/1,5,马尔克斯：百年孤独（50周年纪念版）,2376574,99.90%,加西亚·马尔克斯,2017/8/1,南海出版公司,￥39.60,￥55.00
2021年,2024/4/1,6,文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,432097,100%,余华,2021/3/3,北京十月文艺出版社,￥44.20,￥59.00
2021年,2024/4/1,7,乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫·勒庞代表作,749913,100%,古斯塔夫·勒庞,2018/4/6,民主与建设出版社,￥11.70,￥26.00
2021年,2024/4/1,8,人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，,1245383,100%,麦家,2019/4/16,北京十月文艺出版社,￥34.50,￥55.00
2021年,2024/4/1,9,云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠,1626603,100%,张嘉佳,2018/7/1,湖南文艺出版社,￥23.80,￥42.00
2021年,2024/4/1,10,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,2151671,99.90%,东野圭吾,2017/8/9,南海出版公司,￥35.80,￥59.60
2021年,2024/4/1,11,活着（精装版，余华代表作，易烊千玺推荐阅读版本）,583613,100%,余华,2017/6/1,北京十月文艺出版社,￥23.30,￥35.00
2021年,2024/4/1,12,三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,2309428,99.90%,刘慈欣,2010/11/1,重庆出版社,￥41.00,￥93.00
2021年,2024/4/1,13,吹牛大王历险记（德国原版精美插图本，充满欢乐的百年童话，未删,199874,100%,埃·拉斯伯,2017/12/1,浙江工商大学出版社,￥7.60,￥19.00
2021年,2024/4/1,14,小王子（原版精美插图，傅雷翻译出版奖得主郑克鲁法文直译。揭秘,269105,100%,圣埃克苏佩里,2018/7/19,浙江工商大学出版社,￥10.40,￥26.00
2021年,2024/4/1,15,天堂旅行团（继《全世界》《云边》之后，张嘉佳新书2021全新长篇,181206,100%,张嘉佳,2021/8/1,湖南文艺出版社,￥28.10,￥48.00
2021年,2024/4/1,16,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,1350956,100%,岸見一郎,2020/3/5,机械工业出版社,￥27.50,￥55.00
2021年,2024/4/1,17,消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步,380922,100%,高野和明,2020/4/29,上海文艺出版社,￥21.00,￥42.00
2021年,2024/4/1,18,走遍中国 图说天下 寻梦之旅,615532,100%,霍晨昕,2019/2/1,四川人民出版社,￥24.90,￥29.90
