电影,评分,演员
与玛格丽特的午后,9.1,"热拉尔·德帕迪约,吉赛勒·卡扎德絮,帕特里克·伯利奇,弗朗索瓦-格扎维埃·德梅松,莫拉娜,让-弗朗索瓦·斯泰弗南,克莱尔·莫里耶,索菲·吉耶曼,梅兰妮·贝尔内尔,莱耶·塞伦,安妮吕丢尔勒克,布鲁诺·列治,马蒂厄达昂,杰罗姆·德尚"
纵横四海,8.8,"周润发,张国荣,钟楚红,朱江,曾江,胡枫,唐宁,邓一君,唐家辉,何锦满,韩俊,冯雪瑞,胡大为,蔡国强"
时空恋旅人,8.8,"多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊,莉迪亚·威尔逊,琳赛·邓肯,理查德·科德里,约书亚·麦圭尔,汤姆·霍兰德尔,玛格特·罗比,维尔·梅里克,凡妮莎·柯比,汤姆·休斯,哈利·海顿-佩顿,米切尔·马伦,丽莎·艾科恩,珍妮·莱恩斯福德,菲利普-沃斯,凯瑟琳·斯戴曼,汤姆·斯托顿,安部春香,李·阿斯奎斯-柯,理查德·班克斯,保罗·布莱克维尔,贝恩·科拉科,格拉姆·柯里,罗薇娜·戴蒙德,约翰·达根,迪诺·法赞尼,内芙·加切夫,理查德·E·格兰特,理查德·格雷弗斯,李·尼古拉斯·哈里斯,理查德·赫德曼,李仙湖,马修·C·马蒂诺,马汀·麦格,艾莉克丝·摩尔,艾薇·维,艾莎·哈特,黛博拉·罗桑,弗朗西斯卡·祖琪妮,朱莉·沃洛诺,阿曼达·伦贝里,尼可拉·芬恩"
怪兽电力公司,8.8,"约翰·古德曼,比利·克里斯托,玛丽·吉布斯,史蒂夫·布西密,詹姆斯·柯本,詹妮弗·提莉,鲍勃·彼德森,约翰·拉森贝格,弗兰克·奥兹,丹尼尔·吉尔森,邦尼·亨特,杰克·安杰尔,塞缪尔·洛德·布莱克,史蒂夫·萨斯坎德,李·昂克里奇,李立宏,王伟忠,华莱士·肖恩,黄子佼,胡立成,雪莉·琳恩,比尔·法玛尔"
头脑特工队,8.8,"艾米·波勒,菲利丝·史密斯,理查德·坎德,比尔·哈德尔,刘易斯·布莱克,敏迪·卡灵,凯特林·迪亚斯,戴安·琳恩,凯尔·麦克拉克伦,波拉·庞德斯通,鲍比·莫尼汉,保拉·佩尔,大卫·戈尔兹,弗兰克·奥兹,乔什·库雷,弗利,约翰·拉森贝格,卡洛斯·阿拉斯拉奇,皮特·萨加尔,拉什达·琼斯,罗里·艾伦,约翰·齐甘,雪莉·琳恩,拉瑞恩·纽曼,帕丽斯·冯·戴克,山新,杰夫·奎卡,鲍伯·伯根,张震,佟心竹,特蕾莎·甘泽尔"
阳光姐妹淘,8.8,"沈恩敬,闵孝琳,姜素拉,南宝拉,陈熙琼,金时厚,柳好贞,朴真珠,李妍京,金甫美,千玗嬉,李璟荣,金叡园,金玺碧,金元海,金惠玉,李俊赫,金宣敬,荷承里,高俊,成志娄,高素熙,杨姬琼,崔秀林,柳惠琳,洪真熙,朴赫民,楊朱虎,朴英徐,崔利善,黄春河"
幸福终点站,8.8,"汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐,齐·麦克布赖德,迭戈·卢纳,巴里·沙巴卡·亨利,库玛·帕拉纳,佐伊·索尔达娜,埃迪·琼斯,祖德·塞克利拉,科瑞·雷诺兹,吉列尔莫·迪亚兹,里尼·贝尔,瓦列里·尼古拉耶夫,迈克尔·诺里,鲍勃·莫里西,萨沙·斯皮尔伯格,苏珊·索洛米,卡尔利斯·布克,斯蒂芬·富勒,丹·芬纳蒂,莉迪亚·布兰科,肯尼斯·崔,卡斯·安瓦尔,康拉德·皮拉,杜桑恩·杜基齐,马克·伊瓦涅,Benny Golson,斯科特·安第斯,罗伯特·科瓦吕比亚,Dilva Henry,卡尔艾拉切,哈亚提·阿克巴斯,艾力克斯·伯恩斯,埃莱娜·卡多纳,Dan Chase,查得·R·戴维斯,安东内拉·埃莉亚,Michael Eliopoulos,马斯顿·福布斯,Riad Galayini,杰拉德·加纳,贾斯汀·罗杰斯豪尔,穆罕默德·哈桑,Amber Havens,Ksenia Jarova,巴里·朱利安,Svilena Kidess,Zuzana Monroe,艾丽西亚·奥奇瑟,本杰明·奥切恩格,梅尔·罗德里格斯,阿尼·萨瓦"
淘金记,9.2,"查理·卓别林,马克·斯旺,汤姆·默里,亨利·伯格曼,Malcolm Waite,乔治亚·黑尔,Jack Adams,Sam Allen,Harry Arras,艾伯特·奥斯汀,Marta Belfort,George Brock,海尼·康克林,凯·德利斯,James Dime,Leon Farey,Charles Force,J.C. Fowler,阿尔·欧内斯特·加西亚,Inez Gomez,希德·格鲁曼,丽塔·格雷,雷·格雷,F.F. Guenste,Jack Herrick,George Holt,Jean Huntley,Gladys Johnston,Fred Karno Jr.,Elias Lazaroff,Joan Lowell,Chris-Pin Martin,Clyde McAtee,John Millerta,贝蒂莫里西,Florence Murth,约翰兰德,蒂尼·桑福德,Frank Stockdale,Frank Rice,Lillian Rosine,C.F. Roark,Armand Triller,John Wallace,Tom Wood,Ed Wilson,Bess Wade"
荒蛮故事,8.8,"达里奥·格兰迪内蒂,玛丽娅·玛努尔,莫妮卡·比利亚,丽塔·科尔泰塞,胡丽叶塔·泽尔贝伯格,凯撒·博尔东,莱昂纳多·斯巴拉格利亚,沃尔特·多纳多,里卡多·达林,南希·杜普拉,奥斯卡·马丁内兹,玛莉亚·奥内托,奥斯马·努涅斯,赫尔曼·德·席尔瓦,艾丽卡·里瓦斯,地亚哥·詹蒂莱,玛格丽塔·莫菲诺,保拉 ·格林斯潘"
芝加哥,8.9,"泰雅·迪格斯,凯瑟琳·泽塔-琼斯,蕾妮·齐薇格,多米尼克·韦斯特,杰恩·伊斯特伍德,约翰·C·赖利,科鲁姆·费奥瑞,奇塔·里维拉,奎恩·拉提法,苏珊·米斯纳尔,Denise Faye,迪德尔·古德温,叶卡捷琳娜切特希尔卡诺娃,玛雅,乔伊皮奇,塞巴斯蒂安·拉·考斯,理查·基尔,克里斯汀·芭伦斯基,布兰登·沃尔,杰里·菲奥里尼,刘玉玲,约瑟夫·斯科伦,莫妮卡·甘德顿,April Morgan,马蒂·莫罗,肖恩·麦卡恩,杰夫·克拉克,Patrick Salvagna,凯瑟琳·泽纳,杰夫·普斯蒂尔,Michelle Johnston,Mary Ann Lamb,Cynthia Onrubia,Karine Plantadit-Bageot,娜塔利威尔斯,布列塔尼·格雷,凯伦·霍尔尼斯,保罗·贝克,Scott Fowler,Bill Hartung,Darren Lee,Blake McGrath,罗伯特·蒙塔诺,肖恩·帕默尔,克里夫·桑德斯"
