电影,评分,演员
绅士们,8.3,"马修·麦康纳,查理·汉纳姆,休·格兰特,亨利·戈尔丁,米歇尔·道克瑞,杰瑞米·斯特朗,琳·勒内,科林·法瑞尔,汤姆·吴,奇迪·阿朱福,埃迪·马森,杰森·王,约翰·达格尔什,乔丹·朗,莉莉·弗雷泽,小格什温·尤斯塔什,萨缪尔·韦斯特,杰拉丁·萨莫维尔,可可·萨姆纳,弗朗茨·德拉姆,克里斯托弗·埃万格罗,詹姆斯·沃伦,汤姆·里斯·哈里斯,丹尼·格里芬,马克斯·班内特,尤金娜·库日敏娜,布鲁斯·钟,阿什利·马克圭尔,乔治·阿斯普雷,杰克·琼斯,马文·坎贝尔,莫里斯·李,拉塞尔·巴洛格,伊川东吾,麦凯尔·戴维,Dominic Gibbs,布莱特妮·阿什沃斯,妮科尔·亨布拉,杰森· 莱恩斯,盖·里奇,塞尔哈特·梅汀,巴奇·马龙"
爱你，西蒙,8.3,"尼克·罗宾森,詹妮弗·加纳,乔什·杜哈明,小豪尔赫·兰登伯格,凯瑟琳·兰福德,亚历山德拉·希普,洛根·米勒,凯南·朗斯代尔,特丽莎·贝特曼,托尼·海尔,娜塔莎·罗斯韦尔,迈尔斯·赫尔泽,乔伊·保罗瑞,克拉克·穆尔,德鲁·斯塔基,麦肯兹·林茨,卡萨迪·麦克林西,艾莉克斯·斯甘巴蒂,贾米拉·汤普森,艾米丽·乔丹,帕特里克·多诺霍,特雷勒·希尔,泰勒·切斯,哈龙·汗,约书亚·米克尔,尼古拉斯·斯塔格尔,南茜·德·梅奥,克里斯蒂安·奥乔·梅菲尔德,钱特尔·D·克里斯托弗,曼迪·法森,菲利普·科文,罗比·罗杰斯,乔丹·道,科尔顿·海恩斯,罗伯·西蒙森,胡安·贾斯帕,黛西·罗斯·布莱内斯"
小情人,8.6,"查理·瑞纳,霍嘉丝·芝华顾,查卢彭·提坤朋提拉翁,普里查·查纳派,妮帕婉·苔薇朋莎婉,阿努萨拉·钱塔让西,汪撒孔·拉萨米塔特,普雷姆·汀苏拉农达,查尔温·吉特宋邦"
小羊肖恩,8.4,"贾斯汀·弗莱彻,约翰·斯帕克斯,欧米德·吉亚李利,理查德·韦伯,凯特·哈伯,安迪·尼曼,西蒙·格林诺,艾玛·泰特,蒂姆·汉兹,杰克·保尔森,西恩·康诺利,亨利·伯顿,迪曼特·维瓦斯,苏菲·劳顿,妮娅·梅迪·詹姆斯,斯坦利·昂温"
蓝白红三部曲之白,8.4,"泽比纽·扎马洲斯基,朱莉·德尔佩,扬努斯·加约斯,耶日·斯图尔,亚历山大·巴尔迪尼,格热戈日·瓦寇,采扎里·哈拉西摩威奇,耶日·诺瓦克,杰吉·特雷拉,采扎里·帕祖拉,菲利普·莫里尔-热努,比奥迪·玛查里卡,弗朗西斯·科菲内,芭芭拉·杰坎,马尔泽娜·泰巴拉,特蕾莎·布齐什-克日扎诺夫斯卡,朱丽叶·比诺什"
调音师,8.2,"阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,安尔·德霍万,马纳夫·维吉,阿什维尼·卡尔塞卡,查亚·卡达姆,萨基尔·侯赛因,拉什米·阿格德卡,莫希尼·凯瓦拉曼,卡比尔·谢赫"
食神,8.2,"周星驰,莫文蔚,刘以达,吴孟达,薛家燕,谷德昭,李兆基,江希文,田启文,欧锦棠,罗家英,钟丽缇,林雪,罗雪玲,李剑荣,陈东,张耀辉,谭天宝,吴育枢,祝文君,邓泰和,戴龙,许愿,徐志雄,李健仁"
奇怪的她,8.3,"沈恩敬,罗文姬,朴仁焕,李阵郁,郑振永,成东日,金秀贤,张宥,朴惠珍,表艺珍,姜汉泉,崔圭换,金贤淑,韩彩炅,崔华静,韩智恩,金瑟祺,郑仁基,张光,河延珠,全宇材"
穿普拉达的女王,8.2,"梅丽尔·斯特里普,安妮·海瑟薇,艾米莉·布朗特,斯坦利·图齐,西蒙·贝克,艾德里安·格尼尔,翠茜·索姆斯,里奇·索莫,丹尼尔·逊亚塔,大卫·马歇尔·格兰特,詹姆斯·诺顿,蒂波·费德曼,丽贝卡·麦德,Jimena Hoyos,吉赛尔·邦辰,乔治·乌尔夫,约翰·罗斯曼,斯特芬妮·斯佐斯塔克,Colleen Dengel,Suzanne Dengel,海蒂·克鲁姆,瓦伦蒂诺·加拉瓦尼,布里姬特·豪尔,伊内丝·里韦罗,阿丽莎·萨瑟兰,Robert Verdi,Paul Keany,David Callegati,弗兰克·安妮罗,亚历山大·布莱斯,Molyneau DuBelle,阿丽克谢·吉尔莫,Scott Hatfield,Hector Lincoln,尼娜·利安德雷罗,Carrie Navarro,Justin Restivo,艾米丽·山德伯格,Andrea Bertola,泰勒·崔德威尔,莱恩·瓦莱丽,多纳泰拉·范思哲,劳伦·魏丝伯格,金斯利·本-阿迪尔"
武状元苏乞儿,8.2,"周星驰,张敏,吴孟达,徐少强,林威,陈百祥,郑丹瑞,苑琼丹,陈慧仪,杨幂,陈少华,周金江,尹尚林,林富伟,邓泰和,邹义训,王钟,袁祥仁,黎彼得,黄衍濛,黄美芬,胡立成,张荣祥"
功夫熊猫,8.2,"杰克·布莱克,达斯汀·霍夫曼,安吉丽娜·朱莉,伊恩·麦柯肖恩,成龙,塞斯·罗根,刘玉玲,大卫·克罗斯,兰德尔·杜克·金,吴汉章,丹·福勒,迈克·克拉克·邓肯,韦恩·奈特,凯尔·加斯,JR·里德,劳拉·奈特林格,坦雅·海登,斯蒂芬·凯林,马克·奥斯本,约翰·斯蒂文森,肯特·奥斯博内,瑞利·奥斯本,陈奕迅,木村佳乃,房祖名,笹野高史,吴文伦,符爽"
杰出公民,8.4,"奥斯卡·马丁内兹,达迪·布列瓦,安德丽娅·弗里杰里奥,诺拉·纳瓦斯,曼努埃尔·维森特,马塞洛·丹德烈亚,贝伦·沙瓦纳,古斯塔沃·加尔松,朱利安·拉基尔·泰拉里尼,艾玛·里维拉,尼古拉斯·德·特蕾西,丹尼尔·卡尔吉曼,亚历克西斯·洛佩兹·科斯塔,莱昂纳多·穆里亚,佩德罗·罗斯"
马路天使,8.6,"周璇,赵丹,魏鹤龄,钱千里,谢添,柳金玉,袁绍梅,沈骏,赵慧深,孙敬,袁阿发,李时,王吉亭,唐巢父,姚萍,裘元元,冯志成,陈毅亭,刘莉影,韩云"
真实的谎言,8.3,"阿诺·施瓦辛格,杰米·李·柯蒂斯,汤姆·阿诺德,比尔·帕克斯顿,蒂亚·卡雷尔,阿特·马里克,艾丽莎·杜什库,格兰特·赫斯洛夫,马绍尔·曼尼什,詹姆斯·艾伦,迪特尔·劳特尔,简·莫里斯,卡齐·查普尔,克丽丝蒂娜·怀勒,奥弗·萨姆拉,Paul Barselou,查尔斯·A·坦伯罗,汤姆·伊斯贝尔,约翰·布鲁诺,雷·巴佛,麦克斯·丹尼尔斯,查尔顿·赫斯顿,洛伦·简斯,Al Kamarr,戴夫·奈特,Jody Millard,约瑟夫·奥利维拉,查利·皮切尔尼,Dale Resteghini,William Shipman,克里斯塔尔·查佩尔"
艺术家,8.4,"让·杜雅尔丹,贝热尼丝·贝乔,约翰·古德曼,詹姆斯·克伦威尔,比茜·图诺克,佩内洛普·安·米勒,马尔科姆·麦克道威尔,小狗乌吉,安迪·米尔德,比尔·法格巴克,贝丝·格兰特,乔尔·默里,米西·派勒,卡尔文·迪恩"
孝子贤孙伺候着,8.7,"陈佩斯,赵丽蓉,丁嘉丽,魏宗万,刘江,辛莉莎,张连仲,虞汪海,李丽娜,李文玲,李明启,常蓝天,倪大红,王村人"
弗兰西丝·哈,8.5,"格蕾塔·葛韦格,米奇·萨姆纳,迈克尔·埃斯佩尔,亚当·德赖弗,迈克尔·泽根,夏洛特·丹布瓦兹,格蕾丝·古默,贾斯汀·卢佩,Britta Phillips,芬纳蒂·斯蒂夫斯,玛雅·卡赞,瑞安谢恩,凡妮莎·雷,迪恩·威尔汉姆,米歇尔·赫斯特,Isabelle McNally,玛瑞娜·斯奎尔西亚提,琳赛·柏奇,约什·汉密尔顿,帕特里克·赫辛格"
斗牛,8.2,"黄渤,闫妮,高虎,来喜,胡晓光,刘向京,陶泽如,孙松,尚铁龙,段宇华,赵君,高岛真一,黑木真二,博隆,冯海煜,胡龙吟"
当哈利遇到莎莉,8.3,"比利·克里斯托,梅格·瑞恩,凯丽·费雪,布鲁诺·柯比,斯蒂芬·福特,丽莎·简·波斯基,米歇尔尼卡斯特罗,格蕾琴帕尔默,Robert Alan Beuth,哈莉·简·科扎克,凯文鲁尼,Franc Luz,特雷西赖纳,凯尔·T·赫夫纳,Estelle Reiner,John Arceri,Kuno Sponholz,康妮·索耶,Charles Dugan,Katherine Squire,Al Christy,Frances Chaney,Bernie Hern,Aldo Rossi,Peter Pan,Bob Ader,David Giardina,Stanley Moore,Johnny Raimondo,Billy Marshall Thompson"
西力传,8.9,"伍迪·艾伦,米娅·法罗,帕特里克霍根,马文恰特诺弗,保罗·内文斯,霍华德·厄斯金,George Hamlin,Ralph Bell,理查德·怀廷,Edward McPhillips,盖尔·汉森,迈克尔·杰特,皮特·麦克罗比,Sol Lomita,玛丽·路易丝·威尔逊,Alice Beardsley,葆拉·特鲁曼,Marianne Tatum,Michael Kell,约翰·罗斯曼,Stephanie Farrow,黛伯拉·拉什,Stanley Simmonds,Robert Berger,雅尼娜·杰克逊,约翰·多马尼安,威利霍尔特,苏珊·桑塔格,欧文·豪,索尔·贝娄,Bricktop,Bruno Bettelheim,John Morton Blum,Ellen Garrison,Theodore R. Smits,Kuno Sponholz,艾德·赫利希,Dwight Weist,Gordon Gould,Wendell Craig,马克斯·阿曼,Arthur Anderson,乔瑟芬·贝克,迈克尔·布莱文斯,范妮·布莱斯,Wilhelm Brückner,詹姆斯·卡格尼,阿尔·卡彭,查理·卓别林,约翰·卡尔文·柯立芝,玛丽恩·戴维斯,朵乐丝·德里奥,泽普·迪特里希,乔·狄马乔,玛丽·杜丝勒,F. 斯科特·菲茨杰拉德,Lou Gehrig,约瑟夫·戈培尔,Harold 'Red' Grange,赫尔曼·戈林,William Randolph Hearst,鲁道夫·赫斯,Bobby Jones,Elizabeth Kaitan,罗伯特·莱伊,查尔斯·A·林德伯格,卡洛·朗白,阿道夫·门吉欧,汤姆·米克斯,梅·奎斯特尔"
独自等待,8.2,"夏雨,李冰冰,龚蓓苾,高旗,吴超,高亚麟,涂松岩,伍仕贤,李丽虹,袁泉,周润发,陈羽凡,葛存壮,英达,吴大维,雷恪生,李霞,福海"
巴黎，我爱你,8.3,"朱丽叶·比诺什,威廉·达福,娜塔莉·波特曼,加斯帕德·尤利尔,热拉尔·德帕迪约,玛吉·吉伦哈尔,伊利亚·伍德,欧嘉·柯瑞兰寇,亚历山大·佩恩,李昕,伊里斯·麦康利,莱拉·贝蒂,塞瑞尔·戴思科斯,布鲁诺·波达里德斯,史蒂夫·布西密,芬妮·阿尔丹,奥利弗·施米茨,梅尔基奥尔·德鲁埃,蕾欧诺·瓦特林,莱昂内尔·德雷,保罗·普特纳,大卫·休莱特,露德温·塞尼耶,韦斯·克雷文,尼克·诺特,友兰达·梦露,尼诺·柯塔德泽,艾米莉·莫迪默,卢夫斯·塞维尔,玛格·马丁戴尔,本·戈扎那,吉娜·罗兰兹,艾米丽·欧哈娜,卡塔琳娜·桑地诺·莫雷诺,沃尔里德·阿非基尔"
101忠狗,8.5,"罗德·泰勒,凯特·鲍尔,本·怀特,丽莎·戴维斯,贝蒂·洛乌·格尔森,J·帕特·奥马利,玛莎·温特沃思,大卫·弗兰克海姆,弗莱德里克·沃洛克,汤姆·康威,都铎·欧文,乔治·佩林,拉姆齐·希尔,奎妮·伦纳德,玛乔丽·本尼特,米基·马加,巴巴拉·比尔德,美美·吉布森,桑德拉·艾勃特,瑟尔·莱文斯克洛福特,比尔·李,保罗·韦克斯勒,芭芭拉·卢迪,丽莎·丹尼尔斯,巴兹尔·勒伊斯达尔,戴尔·麦肯南,西尔维·玛丽奥特, 克拉伦斯·纳什,童自荣,瑞奇·索伦森,Max Smith,保罗·费斯,Don Barclay,Lucille Bliss"
猛龙过江,8.4,"李小龙,苗可秀,查克·诺瑞斯,魏平澳,黄宗迅,罗伯特·沃尔,黄仁植,金帝,刘永,小麒麟,玛丽莎·隆戈,陈福庆,乔恩·T·巴恩,约翰·德比希尔,占占士,林正英,朱塞佩·马罗科,安德鲁·摩根,聂安达,霍曼·塔普塞尔,罗素·考索恩,张佩山,阿里卡尔多·维尼,元彪,罗伯特·贝克"
超人总动员,8.2,"格雷格·T·尼尔森,霍利·亨特,塞缪尔·杰克逊,杰森·李,泰迪·牛顿,华莱士·肖恩,毛毛头,蔡康永,徐熙娣,陈佩斯,布拉德·伯德,莎拉·沃威尔,徐帆,宫迫博之,姜文,Spencer Fox,斯蒂芬·沙弗,Dmitry Pomirchy,Ricardo Gray,马克?安德鲁斯,巴德·乐凯,鲍勃·彼德森,彼得·孙,泰德·马托特"
A计划,8.2,"成龙,洪金宝,元彪,黄曼凝,狄威,太保,午马,钱嘉乐,火星,李海生,关海山,王伟,罗浩楷,刘克宣,韩义生,劳拉·福纳,冯敬文,李健生,吴勉勤,沙鸥,林源,何云,夏国荣,麦飞鸿,杜少明,梁尚云,潘炳忠,谈泉庆,孙志伟,林富伟,户田惠子,萧玉,王坤,尹尚林,朱斗,姚文基,刘俊辉,陈志辉,张作舟,汤姆·康克尔,约翰·德米塔,E·E·贝尔,丹尼·特雷霍,黎强权,刘允,刘晃世,张济平,冯雪瑞,张午郎"
买凶拍人,8.2,"葛民辉,张达明,詹瑞文,樋口明日嘉,陈惠敏,方子璇,陈辉虹,缪非临,刘以达,林雪,邵音音,王合喜,于洋,范振锋,彭浩翔,李道谕,曾健勇,方平,茜利妹,潘雁英,王文骏,萧洪,曾德华,余铭衍,周兆麟,毕国智,汤盈盈,兰茜,林尚义,郑祖,张咏妍,徐志雄,彭秀慧"
辛普森一家,8.4,"丹·卡斯泰兰尼塔,朱莉·卡夫娜,南茜·卡特莱特,雅德丽·史密斯,汉克·阿扎利亚,哈里·谢尔,潘蜜拉·海登,特蕾丝·麦克尼尔,艾伯特·布鲁克斯,卡尔·维耶德戈特,玛西娅·华莱士,露西·泰勒,麦琪·罗丝威尔,菲利普·罗森塔尔,比利·乔·阿姆斯特朗,特雷·库尔,迈克·德特,乔·曼特纳,汤姆·汉克斯,李世扬,曹冀鲁,德尼兹·恰克尔"
内布拉斯加,8.6,"布鲁斯·邓恩,威尔·福特,朱恩·斯奎布,鲍勃·奥登科克,斯泰西·基齐,玛丽·路易丝·威尔逊,兰斯·霍华德,蒂姆·德里斯科尔,戴文·雷特瑞,安吉拉·迈克伊万,格伦多拉·斯蒂特,伊丽莎白·穆尔,凯文·孔克尔,丹尼斯·麦科伊格,罗纳德·沃斯塔,米茜·多蒂"
冰川时代2,8.2,"雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,西恩·威廉·斯科特,乔希·佩克,奎恩·拉提法,威尔·阿奈特,杰·雷诺,克里斯·韦奇,彼得·阿克曼,约瑟夫·博洛尼亚,彼得·德塞夫,詹森·潘妮蒂尔,玛德琳·马丁,明迪·斯特林,詹姆士·谢,拉瑞恩·纽曼,黄磊,杰克·安杰尔,谢恩·鲍梅尔,雪莉·琳恩,优香,黄忆慈,比尔·法玛尔,科里亚·刘易斯,黛比·德里贝里,蕾妮·泰勒,艾伦·图代克,杰斯·哈梅尔,卡洛斯·沙尔丹哈,克里斯平·弗里曼,保罗·布切,詹妮弗·达林,罗德格尔·邦帕斯,鲍伯·伯根,汤姆·法汉,布兰卡·卡马乔,斯蒂芬·鲁特,扎克·沙达,劳拉·马兰洛,阿芮尔·温特"
犬之岛,8.2,"布莱恩·克兰斯顿,爱德华·诺顿,科宇·兰金,列维·施瑞博尔,比尔·默瑞,杰夫·高布伦,鲍勃·巴拉班,野村训市,格蕾塔·葛韦格,斯嘉丽·约翰逊,蒂尔达·斯文顿,弗兰西斯·麦克多蒙德,罗曼·科波拉,卡拉·海沃德,高山明,伊藤晃,哈威·凯特尔,F·默里·亚伯拉罕,小野洋子,渡边谦,夏木真理,费舍·史蒂芬斯,村上虹郎,考特尼·万斯,安杰丽卡·休斯顿,野田洋次郎,山田孝之,秋元梢,松田翔太,松田龙平,池田依来沙,杰克·莱恩,育乃介,儿玉太智,卡琳·奥克索,弗兰克·伍德,爱德华·博奇,宋佳,朱亚文,张琦"
花与爱丽丝,8.2,"铃木杏,苍井优,郭智博,平泉成,木村多江,相田翔子,阿部宽,广末凉子,大泽隆夫,伊藤步,布施绘里,坂本真,池永亚美,木村绿子,中野裕之,大森南朋,森下能幸,梶原善,笠原秀幸,叶美香,吉冈秀隆,松田一沙,松永裕子,宍户江利花"
热带鱼,8.7,"林嘉宏,文英,林正盛,郎祖筠,阿匹婆,陈慕义,赵正平,席敬伦,连碧东,范筱梵,黄美文"
猫的报恩,8.2,"池胁千鹤,袴田吉彦,丹波哲郎,前田亚季,山田孝之,佐藤仁美,佐户井贤太,滨田岳,渡边哲,斋藤洋介,冈江久美子,克里斯汀·贝尔,朱迪·格雷尔,大泉洋,安田显,加利·艾尔维斯,蒂姆·克里,田中敦子,埃利奥特·古尔德,艾琳·钱伯斯,彼得·博伊尔,本名阳子,勒内·奥贝尔若努瓦,安迪·里克特,布莱德利·皮尔斯,柯尔特·德瑞普,克里斯汀·萨瑟兰,宫本充,莫娜·马歇尔,凯特·克雷西达,Jenny Andrews,杰森·哈里斯,安妮·海瑟薇,新垣樽助"
警察故事,8.2,"成龙,林青霞,张曼玉,董骠,楚原,曹查理,汤镇业,刘雅丽,卢敏仪,林国斌,冯克安,李健生,火星,吉恩·吉尔平,林富伟,王坤,王志学,吴伟业,夏国荣,陈志辉,刘晃世,黎小田,太保,张冲,陈全,刘志荣,林国雄,曾楚霖,廖静妮,蔡国强"
我在雨中等你,8.4,"凯文·科斯特纳,米洛·文堤米利亚,阿曼达·塞弗里德,马丁·唐文,盖瑞·科尔,凯西·贝克,阿尔·萨皮恩扎,莉莉·多斯沃斯-埃文斯,赖恩·基拉·阿姆斯特朗,凯伦·霍尔尼斯,麦金利·贝尔彻三世,阿里萨·维拉尼,伊丽莎白·鲍恩,帕特里克·罗卡斯,李利强,吉安皮罗·科格诺利,安德烈斯·约瑟夫,伊安·雷克,帕克,巴特勒,唐纳德·亨,娜基塔·科汉,格雷森·麦克斯韦·根西"
那些年，我们一起追的女孩,8.1,"柯震东,陈妍希,敖犬,郝劭文,蔡昌宪,侯彦西,弯弯,邱彦翔,王彩桦,柯义浤,黄逸祥,李凤新,黄柏钧,赖雅妍,高丽红,李维维,严艺文,蔡武雄,方志友,孙绽"
年会不能停！,8.1,"大鹏,白客,庄达菲,王迅,孙艺洲,李乃文,欧阳奋强,童漠男,大木,晃晃,衣云鹤,杨磊,孔连顺,李栋,王学东,赵天爱,王皓,宋木子,合文俊,李飞,石老板,六兽,卢庚戌,鄂靖文,李萍,刘頔,董润年,周小川,李进,秦林,兰西雅"
濑户内海,8.3,"池松壮亮,菅田将晖,中条彩未,铃木卓尔,宇野祥平,冈山天音,牧口元美,成田瑛基"
爱情神话,8.1,"徐峥,马伊琍,吴越,倪虹洁,周野芒,黄明昊,王影璐,宁理,张芝华,吴冕,冯玛娅,哈姆扎·阿萨尔,孙思瀚,赵胤胤,卫莱,史航"
椿三十郎,8.8,"三船敏郎,仲代达矢,小林桂树,加山雄三,团令子,志村乔,藤原釜足,入江隆子,清水将夫,伊藤雄之助,久保明,太刀川宽,土屋嘉男,田中邦卫,江原达怡,平田昭彦,小川虎之助,堺左千夫,佐田丰,大友伸,广濑正一,伊藤实,樋口年子"
摄影机不要停！,8.2,"滨津隆之,真鱼,主浜晴美,秋山柚稀,长屋和彰,细井学,市原洋,山崎俊太郎,大泽真一郎,竹原芳子,吉田美纪,合田纯奈,浅森咲希奈,山口友和,藤村拓矢,岩合智史,高桥恭子,生见司织"
热血警探,8.2,"西蒙·佩吉,尼克·弗罗斯特,马丁·弗瑞曼,比尔·奈伊,提摩西·道尔顿,吉姆·布劳德本特,Robert Popper,乔·考尼什,Chris Waitt,比莉·怀特劳,彼得·怀特,朱丽亚·迪金,比尔·贝利,保罗·弗里曼,伊丽莎白·埃尔文,斯图亚特·维尔森,帕迪·康斯戴恩,拉菲·斯波,凯文·埃尔登,卡尔·约翰逊,Sampson,奥利维娅·科尔曼,爱德华·伍德华德,安妮·雷德,肯内斯·库兰汉姆,亚当·布克斯顿,斯戴芬·莫昌特,蒂姆·巴洛,罗伊·麦克凯恩,爱丽丝·洛维,罗恩·库克,大卫·斯瑞弗,露茜·彭奇,大卫·布拉德利,Maria Charles,凯特·布兰切特,史蒂夫·库根,大卫·威廉·詹姆斯·埃利奥特,彼得·杰克逊,加斯·詹宁斯,约瑟夫·麦克曼纳斯,Joel Stubbs,埃德加·赖特"
春天的故事,8.4,"安娜·特塞德雷,休格·奎斯特,弗洛朗丝·达雷尔 ,露易丝.贝内特,索菲.罗宾"
